stock_code,company_name,industry,address,market_type,market_cap_recent
A000990,DB하이텍,N45301.반도체 및 반도체장비,(14519) 경기 부천시 원미구 수도로 90,코스피,2940910148800
A001000,신라섬유,N25501.판매업체,(41080) 대구시 동구 안심로65길 34,코스닥,58266096000
A001020,페이퍼코리아,N15105.종이와 임산물,(54003) 전북 군산시 외항로 1245,코스피,118180919832
A001040,CJ,N40201.다각화된 금융 서비스,(04637) 서울시 중구 소월로2길 12,코스피,4761686073600
A001060,JW중외제약,N35202.제약,(13840) 경기 과천시 과천대로7길 38,코스피,582148250000
A001070,대한방직,"N25203.섬유, 의류, 사치품","(04508) 서울시 중구 중림로 48 (중림동,성준빌딩)",코스피,33496000000
A001080,만호제강,N15104.금속과 채광,(46755) 부산시 강서구 녹산화전로 71,코스피,198785000000
A0010E0,ACE FTSE WGBI Korea,,,코스피,19330000000
A0010V0,제이피아이헬스케어,"N45203.전자장비와 기기, 부품","(08377) 서울시 구로구 디지털로33길 28, 608호 (구로동,우림이비지센터1차)",코스닥,90059256000
A001120,LX인터내셔널,N20107.무역회사와 판매업체,"(03184) 서울시 종로구 새문안로 58 (신문로2가,엘지광화문빌딩)",코스피,1195746000000
A001130,대한제분,N30202.식품,(04513) 서울시 중구 세종대로 39,코스피,240656000000
A001140,국보,N20304.도로 및 선로,"(48304) 부산시 수영구 광남로 42, 8층",코스피,33456978680
A001200,유진투자증권,N40203.캐피탈 시장,(07327) 서울시 영등포구 국제금융로 24,코스피,361311739140
A001210,금호전기,N20104.전기장비,"(07326) 서울시 영등포구 국제금융로 10, 14층",코스피,38963680101
A001230,동국홀딩스,N15104.금속과 채광,"(04539) 서울시 중구 을지로5길 19 (수하동,페럼타워)",코스피,240093646650
A001250,GS글로벌,N20107.무역회사와 판매업체,(06141) 서울시 강남구 논현로 508,코스피,199731708880
A001260,남광토건,N20103.건설 및 엔지니어링,"(16950) 경기 용인시 기흥구 흥덕중앙로 120, 비122호 (영덕동,흥덕유타워)",코스피,71876101320
A001270,부국증권,N40203.캐피탈 시장,(07330) 서울시 영등포구 국제금융로6길 17,코스피,733150940200
A001290,상상인증권,N40203.캐피탈 시장,(07335) 서울시 영등포구 여의대로 108,코스피,75185961280
A001340,PKC,N15101.화학,(54007) 전북 군산시 임해로 494-16,코스피,277595755260
A001360,삼성제약,N35202.제약,(18622) 경기 화성시 향남읍 제약공단4길 10,코스피,136817500787
A001380,SG글로벌,N25101.자동차 부품,(32421) 충남 예산군 예산읍 창말로 75,코스피,79316748252
A001390,KG케미칼,N15101.화학,(44996) 울산시 울주군 온산읍 당월로 322,코스피,390958218400
A0013P0,RISE 미국은행TOP10,,,코스피,11480000000
A0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),,,코스피,27468000000
A001420,태원물산,N25101.자동차 부품,(06179) 서울시 강남구 테헤란로86길 14,코스피,25802000000
A001430,세아베스틸지주,N15104.금속과 채광,(04036) 서울시 마포구 양화로 45,코스피,1011311755800
A001440,대한전선,N20104.전기장비,"(14055) 경기 안양시 동안구 시민대로 317, 2층 (관양동,대한스마트타워)",코스피,4651860135000
A001450,현대해상,N40301.보험,(03183) 서울시 종로구 세종대로 163,코스피,2592600000000
A001460,BYC,"N25203.섬유, 의류, 사치품",(07447) 서울시 영등포구 디지털로38길 27,코스피,240476775000
A001470,삼부토건,N20103.건설 및 엔지니어링,"(03125) 서울시 종로구 종로41길 25, 8층-10층 (종로6가,한덕빌딩)",코스피,79699592928
A001500,현대차증권,N40203.캐피탈 시장,(07325) 서울시 영등포구 국제금융로2길 28,코스피,517542578280
A001510,SK증권,N40203.캐피탈 시장,(07332) 서울시 영등포구 국제금융로8길 31,코스피,324196857306
A001520,동양,N15102.건축자재,(07325) 서울시 영등포구 국제금융로2길 24,코스피,202165401361
A001530,DI동일,N20200.상업 및 전문서비스,(06180) 서울시 강남구 테헤란로 516,코스피,339935494400
A001540,안국약품,N35202.제약,"(13840) 경기 과천시 과천대로7길 12 (갈현동,프리즘스퀘어2)",코스닥,109556328000
A001550,조비,N15101.화학,(06627) 서울시 서초구 효령로77길 28,코스피,57685775290
A001560,제일연마,N15104.금속과 채광,(37866) 경북 포항시 남구 대송로101번길 34,코스피,93982000000
A001570,금양,N15101.화학,(47028) 부산시 사상구 낙동대로960번길 77,코스피,633275240400
A0015B0,KoAct 미국나스닥성장기업액티브,,,코스피,49274000000
A0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),,,코스피,7560000000
A0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),,,코스피,24123000000
A0015K0,TIGER 미국소비트렌드액티브,,,코스피,7119200000
A001620,케이비아이동국실업,N25101.자동차 부품,(04334) 서울시 용산구 한강대로 350,코스피,53754533973
A001630,종근당홀딩스,"N35200.제약, 생명공학 및 생명과학",(03742) 서울시 서대문구 충정로 8,코스피,242727765450
A001680,대상,N30202.식품,"(03130) 서울시 종로구 창경궁로 120 (인의동,종로플레이스)",코스피,731073327500
A0016X0,SOL 중단기회사채(A-이상)액티브,,,코스피,308987880000
A001720,신영증권,N40203.캐피탈 시장,(07330) 서울시 영등포구 국제금융로8길 16,코스피,2549844000000
A001740,SK네트웍스,N20107.무역회사와 판매업체,(16298) 경기 수원시 장안구 경수대로976번길 19,코스피,1020091128220
A001750,한양증권,N40203.캐피탈 시장,(07330) 서울시 영등포구 국제금융로6길 7,코스피,240951148620
A001770,SHD,N15104.금속과 채광,(15410) 경기 안산시 단원구 번영2로 31,코스피,21187472320
A001780,알루코,N15104.금속과 채광,(34369) 대전시 대덕구 대화로119번길 31,코스피,197533469280
A001790,대한제당,N30202.식품,(22300) 인천시 중구 월미로 116,코스피,253392838500
A0017Y0,1Q 종합채권(AA-이상)액티브,,,코스피,55557495000
A001800,오리온홀딩스,N40000.금융,(04369) 서울시 용산구 백범로90다길 13,코스피,1222212183220
A001810,무림SP,N15105.종이와 임산물,(06027) 서울시 강남구 강남대로 656,코스닥,33184112500
A001820,삼화콘덴서,N20104.전기장비,(17118) 경기 용인시 처인구 남사읍 경기동로 227,코스피,318606750000
A001840,이화공영,N20103.건설 및 엔지니어링,(04038) 서울시 마포구 양화로 104,코스닥,36010355776
A0018C0,PLUS 고배당주위클리고정커버드콜,,,코스피,63070000000
A0018Z0,RISE 미국양자컴퓨팅,,,코스피,13302500000
A001940,KISCO홀딩스,N15104.금속과 채광,(51562) 경남 창원시 성산구 공단로103번길 12,코스피,387723993000
A0019K0,TIMEFOLIO 미국나스닥100채권혼합50액티브,,,코스피,136552500000
A002020,코오롱,N40000.금융,(13837) 경기 과천시 코오롱로 11,코스피,592179379400
A002030,아세아,N40201.다각화된 금융 서비스,(06223) 서울시 강남구 논현로 430,코스피,791973200000
A002070,비비안,"N25203.섬유, 의류, 사치품",(04384) 서울시 용산구 서빙고로51길 52,코스피,30823724514
A0020H0,KoAct 글로벌양자컴퓨팅액티브,,,코스피,37925000000
A002100,경농,N15101.화학,(06627) 서울시 서초구 효령로77길 28,코스피,182536076250
A002140,고려산업,N30202.식품,(48942) 부산시 중구 중앙대로 22,코스피,62348562500
